time_center_s,temp_win_mean,sampen_ecg_ds,sampen_rr
4.99975,32.5192,0.23476790298940478,
14.99975,32.6384,0.6188950587446519,
24.99975,32.7578,0.5710081331623958,
34.99975,32.90339999999999,0.450014361395092,
44.99975,33.0,0.2255311955222371,
54.99975,33.09515000000001,0.2258480981706631,
64.99975,33.18405,0.20905598851999665,
74.99975,33.24265,0.21889133420054951,
84.99975,33.34165,0.22864194070184174,
94.99975,33.42044999999999,0.26004222394083687,
104.99975,33.5,0.2587827959673648,
114.99975,33.5202,0.25842773865632457,
124.99975,33.59860000000001,0.311820795880997,
134.99975,33.6572,0.30098039919540753,0.2595111954850847
144.99975,33.70569999999999,0.2678754710344668,
154.99975,33.800000000000004,0.23261529286461255,
164.99975,33.81380000000001,0.2539811388985831,
174.99975,33.89999999999999,0.2669663779211925,
184.99975,33.94214999999999,0.25846828621724394,
194.99975,34.0,0.2742408492968274,
204.99975,34.05045000000001,0.30739440441499255,
214.99975,34.06970000000001,0.283073785222303,
224.99975,34.12825000000001,0.22793390729818705,
234.99975,34.199999999999996,0.23719435846581507,
244.99975,34.26665,0.2533564849994284,
254.99975,34.325250000000004,0.289289897774751,
264.99975,34.39999999999999,0.2690863449771769,
274.99975,34.443549999999995,0.23770201954109008,
284.99975,34.5,0.24298750572513692,
294.99975,34.5215,0.24448249049366608,
304.99975,34.589900000000014,0.24319070917539062,0.8472978603872037
314.99975,34.60000000000001,0.28254242695244136,
324.99975,34.669,0.2589086461396332,0.4418327522790392
334.99975,34.67979999999999,0.2595877241719159,
344.99975,34.699999999999996,0.2315124095524155,0.4418327522790392
354.99975,34.73575,0.23555110108122204,
364.99975,34.77985,0.23632492343460837,
374.99975,34.800000000000004,0.23946163996760264,
384.99975,34.8101,0.22705430807636698,0.4700036292457356
394.99975,34.87255,0.253482614327467,
404.99975,34.931149999999995,0.26493829915891076,
414.99975,35.0,0.24776414520041162,
424.99975,35.02915,0.22165164011743002,
434.99975,35.10000000000001,0.23167559636201399,
444.99975,35.110150000000004,0.23544754376435564,
454.99975,35.13030000000001,0.22867576591862265,1.1349799328389845
464.99975,35.120200000000004,0.2435468294018857,
474.99975,35.195,0.2380389797080448,
484.99975,35.199999999999996,0.22153028917544457,
494.99975,35.2728,0.24523353339841164,
504.99975,35.300000000000004,0.2752327612200476,
514.99975,35.300000000000004,0.2739192360281233,
524.99975,35.300000000000004,0.2557870475618125,
534.99975,35.300000000000004,0.24382153397930312,
544.99975,35.300000000000004,0.25192179105730467,
554.99975,35.38754999999999,0.21162934017794985,
564.99975,35.39999999999999,0.22924545756081469,
574.99975,35.39999999999999,0.2215434297132585,
584.99975,35.41385,0.21558788779868984,
594.99975,35.4798,0.21305413838383894,0.8472978603872037
604.99975,35.48985,0.22162704199498373,0.8472978603872037
614.99975,35.4698,0.2411314793504967,0.4418327522790392
624.99975,35.5,0.25117721915527436,
634.99975,35.5,0.23348277350215166,
644.99975,35.5,0.2589055557021431,
654.99975,35.5,0.2274793126333336,
664.99975,35.5,0.23038120994185082,
674.99975,35.5,0.2062944683731832,
684.99975,35.5,0.2248615790031232,
694.99975,35.5,0.22034276204064338,0.8472978603872037
704.99975,35.5202,0.2276560057311449,
714.99975,35.5,0.2366239128012601,
724.99975,35.5101,0.20370468162163083,
734.99975,35.559950000000015,0.35390086375175933,
