time_center_s,temp_win_mean,sampen_ecg_ds,sampen_rr
4.99975,34.03008211000001,0.2587249693369386,
14.99975,34.050618705,0.2601831468679053,
24.99975,34.131487635,0.31198817942642876,
34.99975,34.19221936,0.3011792900089093,0.2595111954850847
44.99975,34.239281289999994,0.26803627811869785,
54.99975,34.33498782,0.23558069760660127,
64.99975,34.34935488,0.25378856295887686,
74.99975,34.437455074999995,0.26794529792461014,
84.99975,34.47805046999999,0.26060846838153745,
94.99975,34.53868001,0.2732075933693409,
104.99975,34.590570334999995,0.308659808863374,
114.99975,34.610142205,0.2828092812713965,
124.99975,34.66962048999999,0.22906191544557342,
134.99975,34.74175601,0.2371448808052284,
144.99975,34.808893685,0.2557215192362643,
154.99975,34.871480865,0.29051082875257245,
164.99975,34.94451893499999,0.27032100271055715,
174.99975,34.99079277,0.2397794404241905,
184.99975,35.047441154999994,0.2440267160493957,
194.99975,35.06876657,0.2447181970792117,
204.99975,35.138726299999995,0.2434260236076427,0.4418327522790392
214.99975,35.14673685,0.28259430143715786,
224.99975,35.219484130000005,0.2576675514610331,0.4418327522790392
234.99975,35.228727195000005,0.2601379742825727,
244.99975,35.24975303,0.23308456066655261,0.4418327522790392
254.99975,35.286530005,0.2364792607566401,
264.99975,35.331615174999996,0.23705186455422347,
274.99975,35.350972235,0.24336013388869857,
284.99975,35.362067445,0.22862826077187295,0.4700036292457356
294.99975,35.42460116499999,0.2533569215469849,
304.99975,35.48667378,0.26685422258672964,
314.99975,35.554372304999994,0.24777310579162956,
324.99975,35.58543813,0.2236585861922546,
334.99975,35.65756612,0.23315083687608767,
344.99975,35.668008255,0.2348276368623584,
354.99975,35.685795465000005,0.22822155477744577,1.1349799328389845
364.99975,35.674174025000006,0.24434646909082575,
374.99975,35.753969874999996,0.23959984644154572,
384.99975,35.75622773,0.2216957995498144,
394.99975,35.83081889,0.24640548837617482,
404.99975,35.8576202,0.2765296948591984,
414.99975,35.858173475,0.27397178977827663,
424.99975,35.85909131,0.2588835025759981,
434.99975,35.858073255,0.2443129120279637,
444.99975,35.857804894999994,0.2520266518371288,
454.99975,35.944063265,0.21177274966894735,
464.99975,35.9568798,0.22898264893156275,
474.99975,35.956144255000005,0.22383114156893733,
484.99975,35.967656595,0.21621544305150206,
494.99975,36.020776275,0.21320766070799652,0.8472978603872037
504.99975,36.028350745000004,0.22218501415472044,0.8472978603872037
514.99975,36.01195439000001,0.24057276050682638,0.4418327522790392
524.99975,36.03429386999999,0.2522303720718538,
534.99975,36.035597294999995,0.23337404633817754,
544.99975,36.035595495,0.2595236687059643,
554.99975,36.035853214999996,0.22856746512409643,
564.99975,36.036772850000006,0.23118494335853493,
574.99975,36.035656790000004,0.20675827356614926,
584.99975,36.035920895000004,0.22741710562516484,
594.99975,36.035623005000005,0.22179687733323294,0.8472978603872037
604.99975,36.045643475,0.22973064474948007,
614.99975,36.036620825,0.2377480183857618,
624.99975,36.039731950000004,0.2041402925645941,
634.99975,36.06268729500001,0.3540447342982578,
